dataset_id,seed,variant,acyclic,edge_mass,incoming_edge_mass,parent_limit_violation_rate,threshold,thresholded_edge_density
4534,3,full,True,57.17924499511719,"[2.293801784515381, 0.29655683040618896, 3.104107618331909, 2.1806187629699707, 1.7911564111709595, 0.17993372678756714, 4.778436183929443, 3.637516975402832, 0.768761932849884, 3.6849913597106934, 1.4367287158966064, 2.343017816543579, 1.0824527740478516, 0.6300927400588989, 1.006803035736084, 0.006341352593153715, 1.393984317779541, 4.143876552581787, 3.1671955585479736, 2.914227247238159, 3.8441882133483887, 0.9679751992225647, 0.04478739574551582, 1.236830711364746, 0.0, 4.457342147827148, 1.460986614227295, 1.5841281414031982, 1.9944183826446533, 0.7479860782623291]",0.6333333333333333,0.05,0.4471264367816092
4534,4,full,True,50.383033752441406,"[0.0, 2.3887970447540283, 1.9774301052093506, 0.8743078708648682, 0.789222776889801, 0.6986638903617859, 2.3506858348846436, 0.43462467193603516, 2.1837189197540283, 0.3120647370815277, 2.635221004486084, 2.5786075592041016, 1.2562881708145142, 1.0926421880722046, 2.8495328426361084, 4.656918525695801, 0.002914968179538846, 0.6479330658912659, 0.8402064442634583, 0.18698999285697937, 4.735549449920654, 2.7688629627227783, 2.11375093460083, 1.4170609712600708, 1.179491400718689, 0.11671217530965805, 0.5295188426971436, 1.5883160829544067, 4.179525375366211, 2.997471570968628]",0.5666666666666667,0.05,0.4160919540229885
4534,1,full,True,51.59184265136719,"[1.6394487619400024, 1.2592326402664185, 2.0458035469055176, 3.841738700866699, 2.1472742557525635, 0.33847543597221375, 1.3630595207214355, 2.4575607776641846, 0.48023396730422974, 0.28034961223602295, 4.049062252044678, 2.051046371459961, 5.618842601776123, 0.8490526676177979, 0.4673634469509125, 1.1010339260101318, 0.9735441207885742, 1.3000131845474243, 2.6164968013763428, 2.915837526321411, 0.4561772048473358, 0.0, 2.4252567291259766, 2.898817777633667, 1.2249140739440918, 0.19170919060707092, 1.3043004274368286, 3.3644986152648926, 1.872435450553894, 0.05826488509774208]",0.6666666666666666,0.05,0.4218390804597701
4534,2,full,True,55.22930908203125,"[2.6574814319610596, 1.984464406967163, 0.4347687363624573, 0.0, 3.170963764190674, 0.7299603819847107, 4.227529048919678, 0.6734421253204346, 5.227956771850586, 0.9943893551826477, 2.188492774963379, 0.7547003626823425, 3.8673126697540283, 0.8717076182365417, 0.7622973918914795, 0.22054383158683777, 3.724104642868042, 2.782578945159912, 2.5348284244537354, 1.1984504461288452, 1.800439715385437, 0.7094593644142151, 4.298281192779541, 0.07891207933425903, 1.225954532623291, 0.4188494086265564, 3.0986974239349365, 2.053265333175659, 1.93401300907135, 0.6054585576057434]",0.5333333333333333,0.05,0.4298850574712644
4534,0,full,True,58.76719665527344,"[4.836606979370117, 0.0, 1.1551177501678467, 0.43782803416252136, 0.15561053156852722, 1.9556642770767212, 1.420475959777832, 1.119823694229126, 3.5095012187957764, 0.324105829000473, 1.3179526329040527, 2.4680094718933105, 0.4435676336288452, 3.4109222888946533, 0.9541053771972656, 3.1916236877441406, 2.639052152633667, 0.6780686974525452, 2.3750159740448, 2.424691677093506, 2.8204591274261475, 0.24130980670452118, 2.944998264312744, 2.3390746116638184, 0.4703841805458069, 4.638815879821777, 1.2004057168960571, 0.09623412787914276, 4.449305534362793, 4.748461723327637]",0.7,0.05,0.4482758620689655
40685,3,full,True,1.5427751541137695,"[0.47283703088760376, 0.19597876071929932, 0.07842477411031723, 0.07909119129180908, 0.2017548680305481, 0.1365196704864502, 0.028713077306747437, 0.3494557738304138, 0.0]",0.1111111111111111,0.05,0.16666666666666666
40685,4,full,True,2.0398221015930176,"[0.4007083475589752, 0.2142193764448166, 0.14878709614276886, 0.11963818967342377, 0.35489270091056824, 0.17332574725151062, 0.5946429371833801, 0.0, 0.033607590943574905]",0.1111111111111111,0.05,0.19444444444444445
40685,1,full,True,1.9745432138442993,"[0.6069746017456055, 0.0, 0.006485362537205219, 0.1200861930847168, 0.0850784182548523, 0.2757841646671295, 0.21056504547595978, 0.20904766023159027, 0.4605218470096588]",0.2222222222222222,0.05,0.25
40685,2,full,True,1.3971083164215088,"[0.3494909107685089, 0.14040738344192505, 0.0, 0.07356702536344528, 0.24940705299377441, 0.10684722661972046, 0.15631332993507385, 0.29066675901412964, 0.030408598482608795]",0.0,0.05,0.16666666666666666
40685,0,full,True,1.6520538330078125,"[0.27573132514953613, 0.15941573679447174, 0.10902607440948486, 0.06200224161148071, 0.5029982924461365, 0.2244369089603424, 0.28030458092689514, 0.03813859447836876, 0.0]",0.0,0.05,0.16666666666666666
1510,3,full,True,13.894729614257812,"[0.6267801523208618, 0.5130817294120789, 0.6119399666786194, 0.481166273355484, 0.5107976198196411, 0.5621238946914673, 0.5569426417350769, 0.571817934513092, 0.45786425471305847, 0.5502373576164246, 0.46379584074020386, 0.49275851249694824, 0.009527124464511871, 0.5498907566070557, 0.4731476306915283, 1.3182653188705444, 0.4929906129837036, 0.44132867455482483, 0.0, 0.4981131851673126, 0.4579847753047943, 0.09479265660047531, 0.5535838603973389, 0.6086750626564026, 0.5076682567596436, 0.44752517342567444, 0.5057876706123352, 0.00351021159440279, 0.07809172570705414, 0.4545412063598633]",0.0,0.05,0.14367816091954022
1510,4,full,True,17.659685134887695,"[0.8320351839065552, 0.7304927110671997, 0.8479797840118408, 1.2528183460235596, 0.10310107469558716, 0.8046267628669739, 0.7941517233848572, 0.6470350623130798, 0.6557931303977966, 0.5925530791282654, 0.6970238089561462, 0.5679739117622375, 0.01114946324378252, 1.1994553804397583, 0.5883243083953857, 0.6469230651855469, 0.11085648834705353, 0.06631843745708466, 0.11721388250589371, 0.5882976055145264, 0.6794229745864868, 0.0, 0.830514132976532, 0.6013972759246826, 0.6183832883834839, 0.7788524031639099, 0.8267465233802795, 0.0387713722884655, 0.7430553436279297, 0.6884190440177917]",0.0,0.05,0.18620689655172415
